,nombre_clave_municipio,latitud,longitud,nombre_municipio,id
160,vellon-el,40.7677965,-3.5820099,El Vellón,28168
161,venturada,40.7985257,-3.6207369,Venturada,28169
162,villaconejos,40.1040079,-3.4850284,Villaconejos,28170
163,villa-del-prado,40.2764752,-4.3048032,Villa del Prado,28171
164,villalbilla,40.4323665,-3.2987815,Villalbilla,28172
165,villamanrique-de-tajo,40.0686973,-3.240078,Villamanrique de Tajo,28173
166,villamanta,40.2990939,-4.1090399,Villamanta,28174
167,villamantilla,40.3421033,-4.1300303,Villamantilla,28175
168,villanueva-de-la-canada,40.4472106,-4.002795,Villanueva de la Cañada,28176
169,villanueva-del-pardillo,40.4949232,-3.9600065,Villanueva del Pardillo,28177
170,villanueva-de-perales,40.3466066,-4.1012616,Villanueva de Perales,28178
171,villar-del-olmo,40.3364465,-3.2355624,Villar del Olmo,28179
172,villarejo-de-salvanes,40.1683582,-3.2738764,Villarejo de Salvanés,28180
173,villaviciosa-de-odon,40.3573787,-3.9002334,Villaviciosa de Odón,28181
174,villavieja-del-lozoya,41.0063622,-3.6716291,Villavieja del Lozoya,28182
175,zarzalejo,40.5483016,-4.1815899,Zarzalejo,28183
176,cabrera-la,,,,28030.0
177,leganes,,,,28074.0
178,molinos-los,,,,28087.0
